user_id,treatment,purchase
33882,0,0
56503,0,0
60528,1,0
84442,1,0
95557,1,0
58380,1,0
48734,1,1
41009,1,0
16081,1,0
11280,1,0
74862,0,0
21701,0,0
40655,1,0
94770,0,0
25452,1,0
71717,1,0
74080,1,0
25436,1,0
74022,1,0
66651,1,0
71226,1,0
32165,1,0
29462,0,0
38170,1,1
26747,1,0
36953,1,0
73941,1,0
75002,1,0
47345,0,0
79017,1,0
42290,1,1
26648,1,0
98463,1,0
90986,1,1
76645,1,0
21358,1,0
86760,1,0
50605,1,0
26452,1,0
58871,1,0
24753,1,0
55650,1,1
59773,1,0
74800,1,0
51097,1,0
74504,0,0
49151,1,0
77780,1,0
76876,1,0
36759,1,0
15150,1,0
19952,0,0
61047,1,0
55227,1,0
67019,1,0
35266,1,0
49201,1,0
51244,1,0
69913,0,0
52130,0,0
93032,1,0
47945,0,0
68966,1,0
90128,1,0
34567,1,0
37967,1,0
11040,1,0
78663,1,0
34777,1,0
58476,1,0
14276,1,0
69697,1,0
85970,0,0
75454,0,0
35178,1,0
32860,0,0
69666,1,0
63627,0,0
72845,1,0
51143,0,0
47220,1,0
36317,1,0
66905,1,0
12887,1,0
24946,1,0
65379,1,0
59852,0,0
32632,1,0
55090,1,0
51235,1,0
89902,1,0
74648,0,0
34866,0,0
43789,1,0
48524,1,1
13946,0,0
38341,1,0
85733,0,0
95267,1,0
64289,1,0
58590,1,1
46722,0,0
32838,1,1
51562,1,0
62302,1,0
54669,1,0
96630,1,0
85819,1,0
62509,1,1
52090,1,0
39657,1,0
48988,1,0
63670,1,0
61119,0,0
47164,1,0
74668,1,0
94944,1,1
32417,1,0
15536,1,0
77450,0,0
34828,1,0
46602,1,0
23269,0,0
10635,1,1
67390,1,0
77403,1,0
78896,1,1
26557,0,0
50172,0,0
99190,0,0
46491,1,0
95800,1,0
45755,1,0
45028,1,0
68611,1,1
29395,0,0
41075,1,0
98494,1,0
62938,1,0
17541,0,0
50672,1,0
98367,1,0
78593,1,0
74081,1,1
17456,1,0
86809,0,0
20325,0,0
12273,1,1
75675,1,0
97921,0,0
38052,1,0
32663,1,1
22755,1,0
44571,1,0
29473,1,0
74151,1,0
47870,1,0
98500,0,0
48437,0,0
43967,1,1
79273,1,0
44620,1,0
23678,1,1
33842,1,0
93852,0,0
43080,1,0
93926,1,0
22485,1,0
25886,1,0
11938,1,0
15157,1,1
77016,1,0
14830,1,0
95100,1,0
15831,0,0
68106,1,0
72123,1,0
38495,1,0
30384,0,0
65266,1,0
65365,0,0
68425,0,0
25759,0,0
13230,0,0
21379,1,0
15990,1,0
24535,1,0
89213,1,0
17617,0,0
18433,1,0
81470,1,0
99410,1,1
14215,1,0
44117,0,0
64015,1,0
30770,1,0
90943,1,0
58114,1,0
17604,0,0
26034,1,0
72048,1,0
36811,1,0
23206,0,0
89384,1,0
69283,1,1
64948,0,0
68973,0,0
10047,1,0
99537,1,0
50373,1,1
80532,1,0
97410,1,1
59527,1,0
66796,1,0
53823,1,0
83753,1,0
65392,1,0
50706,1,0
48938,1,1
64699,1,0
83405,0,0
13422,1,0
13689,1,0
78269,1,0
84752,1,1
51458,1,0
54745,1,0
97998,1,0
61072,1,0
37325,1,0
15941,1,0
50602,1,0
95638,0,0
77830,1,0
74799,1,0
17043,1,0
60072,0,0
34278,0,0
86316,0,0
56852,1,0
82353,1,0
26575,1,0
12794,1,0
74998,1,0
68156,0,0
21161,1,0
26958,0,0
99876,1,0
64807,1,0
54640,1,0
71270,1,1
91566,1,0
90291,1,0
79035,0,0
10702,1,0
50189,1,0
25947,0,0
76844,0,0
57408,1,0
16151,1,0
90744,1,0
16872,1,0
85927,1,0
62146,1,1
41096,1,0
93825,1,1
34882,0,0
52548,1,0
29022,1,1
92388,1,0
76864,0,0
27578,1,0
12035,1,0
45985,1,1
32927,1,0
70537,1,1
11842,1,0
93389,0,0
41648,1,1
24405,1,0
85443,1,0
78730,1,0
58014,1,0
21787,1,0
36841,0,0
60893,1,0
24325,1,0
19736,1,0
20142,1,0
54301,1,0
72855,1,0
81821,1,0
50763,1,0
69589,1,0
37230,1,0
94712,1,0
33493,0,0
74702,1,0
11352,1,1
80754,1,0
97196,1,1
53471,0,0
31105,1,0
10620,1,0
82825,0,0
82426,1,0
95689,1,0
35509,1,0
26550,1,0
65988,0,0
59101,1,0
28087,0,0
10953,1,0
42547,1,0
50248,0,0
70399,1,0
14675,1,0
39107,0,0
91685,0,0
67858,1,0
95487,1,0
68315,1,0
89388,0,0
83480,0,0
36425,1,1
78435,1,0
45456,1,0
61793,1,0
49974,1,1
29487,1,0
44749,0,0
95379,1,0
24601,1,0
96002,1,0
59270,0,0
24266,0,0
40566,1,0
58022,1,0
30875,0,0
79574,1,0
50704,1,1
96879,1,0
17656,1,0
63011,1,0
40635,1,0
87607,1,0
51558,1,0
24894,1,0
14929,1,0
24333,0,0
31217,1,0
57635,0,0
68285,1,0
73824,1,0
42728,1,0
19392,1,0
84587,1,1
60045,1,0
28849,1,0
20346,0,0
64433,1,0
34948,1,0
27941,1,0
15634,1,0
70701,1,0
29779,0,0
22524,1,0
75728,1,0
21467,1,0
85333,1,0
76547,1,0
66496,1,0
56129,0,0
36748,1,1
73876,1,1
45006,1,0
72907,1,0
10868,0,0
34172,1,1
29578,0,0
14187,1,0
47026,0,0
27813,1,0
76439,0,0
14693,1,0
62316,1,0
99958,0,0
30446,1,0
29036,1,0
39431,1,0
57051,1,0
35574,1,1
97082,1,0
83911,1,0
58779,1,1
11886,0,0
62634,1,0
45468,1,0
10209,1,0
94011,1,0
85351,1,0
19692,1,0
60384,1,0
95524,1,0
65384,1,0
91201,1,0
68121,0,0
73732,1,1
73095,1,0
96449,1,0
53036,1,0
68344,1,0
91780,1,0
88260,1,0
52341,1,0
35761,1,0
72202,1,0
50245,1,0
47894,1,0
90028,1,0
20277,1,0
70111,1,0
19287,1,1
32615,1,0
88290,1,0
15231,1,0
15775,0,0
57835,0,0
25245,0,0
12580,1,0
49812,1,0
92617,1,0
50791,1,0
44425,1,0
18461,1,0
19939,1,1
34016,1,1
75869,0,0
31822,1,0
69241,1,0
85026,0,0
24579,1,0
11140,1,1
42033,0,0
29100,1,0
95700,1,0
39273,0,0
83235,1,0
25362,1,1
64119,0,0
95066,0,0
39946,1,1
23183,1,0
38790,1,0
31987,1,0
16439,1,1
60094,1,0
12781,1,0
81129,0,0
92395,1,0
29181,1,0
66271,1,0
63771,1,0
11227,1,1
78867,1,0
84646,1,0
21991,1,0
60867,1,0
72572,1,0
68790,1,0
58455,1,1
58730,1,1
33600,1,0
91768,1,0
26298,1,0
76868,1,0
66124,1,0
55060,0,0
58643,1,0
83149,1,0
25706,1,0
62311,1,0
69183,1,0
91846,1,0
48904,1,0
93702,0,0
26581,1,0
90563,1,0
50384,0,0
75033,1,0
52699,1,0
33644,1,0
81952,1,0
48506,1,0
73098,0,0
40856,1,0
55619,1,0
63130,0,0
99248,0,0
95993,1,0
26879,0,0
52503,0,0
77235,1,0
57034,1,0
93940,0,0
86275,1,0
76056,1,0
45956,1,0
42335,1,0
28126,0,0
84123,1,0
33710,1,1
65753,1,1
27038,1,0
86489,1,0
82784,0,0
46629,1,0
45060,1,0
77545,1,0
15945,1,0
84699,0,0
42237,1,0
28046,1,0
77772,0,0
53440,1,0
85992,1,0
64973,1,1
58970,1,0
67789,1,0
58499,1,0
71777,0,0
73988,1,0
70737,1,0
92891,0,0
80570,1,0
25022,1,0
76545,1,0
13642,1,0
63619,1,0
35438,1,1
19453,0,0
11642,1,0
64268,1,0
57555,0,0
53581,1,1
90158,1,0
18588,1,0
85181,1,0
72607,1,0
29927,1,1
28015,1,0
60576,1,0
50660,1,0
68519,1,0
61963,0,0
83775,1,1
48929,1,0
48209,0,0
40072,1,0
65405,1,0
99364,1,0
63303,1,0
88712,0,0
50675,0,0
24524,1,1
80491,0,0
45681,0,0
11589,1,0
98923,1,0
40952,1,0
37129,1,0
95771,1,0
21364,1,0
65626,1,0
47092,1,1
82849,1,0
47778,0,0
70371,1,0
87592,1,0
39112,1,0
47584,1,0
40573,1,0
62774,1,0
29571,0,0
18288,1,0
21031,0,0
26498,1,0
55017,1,0
22649,1,0
47018,0,0
64385,1,0
47043,0,0
67089,1,0
57517,1,0
64312,1,0
83406,1,0
59305,1,0
86688,1,0
14686,1,0
15753,1,0
56621,0,0
37701,1,0
81205,1,0
55800,0,0
77107,1,0
40345,1,0
29980,0,0
81582,1,1
12409,1,0
71326,1,0
27130,1,0
75043,1,1
88028,0,0
13350,1,0
52791,1,1
81788,1,0
69286,1,0
81251,1,0
